Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.01    0.04    3198/3200        std::bitset<56ul>::bitset() [25]
                0.00    0.00    1599/1600        Game::get_legal_moves(std::bitset<56ul>&) [39]
                0.00    0.00    1599/1599        Game::do_move(unsigned long) [47]
                0.00    0.00    1599/1702        std::bitset<56ul>::reset() [139]
-----------------------------------------------
                0.00    0.00      99/1280898     TrainMC::receive_evaluation(float, float*, float*) [29]
                0.06    0.00 1280799/1280898     TrainMC::search(float*) [6]
[21]     3.4    0.06    0.00 1280898         Node::add_evaluation(float) [21]
-----------------------------------------------
                0.00    0.00      99/1436001     TrainMC::choose_move() [46]
                0.00    0.00  158301/1436001     Trainer::delete_tree(unsigned long) [13]
                0.03    0.02 1277601/1436001     TrainMC::search(float*) [6]
[22]     3.2    0.03    0.03 1436001         Trainer::find_next(unsigned long, unsigned long) [22]
                0.02    0.00 1461244/2740481     Node::get_parent() [28]
                0.01    0.00 1461244/1462915     std::vector<Node*, std::allocator<Node*> >::size() const [30]
                0.00    0.00 1461244/4183130     std::vector<Node*, std::allocator<Node*> >::operator[](unsigned long) [82]
-----------------------------------------------
                0.00    0.05    1599/1599        TrainMC::search(float*) [6]
[23]     2.8    0.00    0.05    1599         Node::set_visit(unsigned long) [23]
                0.05    0.00    1599/1599        std::bitset<56ul>::set(unsigned long, bool) [24]
-----------------------------------------------
                0.05    0.00    1599/1599        Node::set_visit(unsigned long) [23]
[24]     2.8    0.05    0.00    1599         std::bitset<56ul>::set(unsigned long, bool) [24]
                0.00    0.00    1599/1599        std::bitset<56ul>::_Unchecked_set(unsigned long, int) [60]
                0.00    0.00    1599/91199       std::bitset<56ul>::_M_check(unsigned long, char const*) const [115]
-----------------------------------------------
                0.00    0.00       2/3200        Node::Node() [51]
                0.01    0.04    3198/3200        Node::Node(Game const&, unsigned long, unsigned long, unsigned long) [20]
[25]     2.8    0.01    0.04    3200         std::bitset<56ul>::bitset() [25]
                0.04    0.00    3200/3304        std::_Base_bitset<1ul>::_Base_bitset() [26]
-----------------------------------------------
                0.00    0.00       1/3304        std::bitset<48ul>::bitset() [59]
                0.00    0.00       1/3304        std::bitset<16ul>::bitset() [58]
                0.00    0.00     102/3304        std::bitset<56ul>::bitset<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long) [35]
                0.04    0.00    3200/3304        std::bitset<56ul>::bitset() [25]
[26]     2.3    0.04    0.00    3304         std::_Base_bitset<1ul>::_Base_bitset() [26]
-----------------------------------------------
                0.00    0.00       1/2716999     TrainMC::do_first_iteration(float*) [49]
                0.00    0.00      99/2716999     TrainMC::choose_move() [46]
                0.00    0.00      99/2716999     SelfPlayer::do_iteration(float, float*, float*, float*) [4]
                0.00    0.00  158400/2716999     Trainer::delete_tree(unsigned long) [13]
                0.03    0.00 2558400/2716999     TrainMC::search(float*) [6]
[27]     2.0    0.04    0.00 2716999         Trainer::get_node(unsigned long) [27]
                0.00    0.00 2716999/4183130     std::vector<Node*, std::allocator<Node*> >::operator[](unsigned long) [82]
-----------------------------------------------
                0.00    0.00      37/2740481     Trainer::place_next(Game const&, unsigned long, unsigned long, unsigned long) [18]
                0.01    0.00 1279200/2740481     TrainMC::search(float*) [6]
                0.02    0.00 1461244/2740481     Trainer::find_next(unsigned long, unsigned long) [22]
[28]     1.7    0.03    0.00 2740481         Node::get_parent() [28]
-----------------------------------------------
                0.00    0.01      99/99          TrainMC::do_iteration(float, float*, float*, float*) [5]
[29]     0.6    0.00    0.01      99         TrainMC::receive_evaluation(float, float*, float*) [29]
                0.01    0.00    5544/5544        Node::get_probability(unsigned long) [32]
                0.00    0.00    5544/71640744     Node::is_legal(unsigned long) [8]
                0.00    0.00      99/1280898     Node::add_evaluation(float) [21]
                0.00    0.00   11088/11088       Node::set_probability(unsigned long, float) [132]
                0.00    0.00      99/99          Node::get_to_play() [240]
                0.00    0.00      99/99          __gnu_cxx::__promote_2<double, float, __gnu_cxx::__promote<double, std::__is_integer<double>::__value>::__type, __gnu_cxx::__promote<float, std::__is_integer<float>::__value>::__type>::__type std::pow<double, float>(double, float) [265]
-----------------------------------------------
                0.00    0.00       1/1462915     Trainer::place_root() [50]
                0.00    0.00      14/1462915     Trainer::~Trainer() [70]
                0.00    0.00      20/1462915     std::vector<Node*, std::allocator<Node*> >::_M_check_len(unsigned long, char const*) const [68]
                0.00    0.00    1636/1462915     Trainer::place_next(Game const&, unsigned long, unsigned long, unsigned long) [18]
                0.01    0.00 1461244/1462915     Trainer::find_next(unsigned long, unsigned long) [22]
[30]     0.6    0.01    0.00 1462915         std::vector<Node*, std::allocator<Node*> >::size() const [30]
-----------------------------------------------
                0.01    0.00  158400/158400      Trainer::delete_tree(unsigned long) [13]
[31]     0.6    0.01    0.00  158400         std::_Bit_reference::operator=(bool) [31]
-----------------------------------------------
                0.01    0.00    5544/5544        TrainMC::receive_evaluation(float, float*, float*) [29]
[32]     0.6    0.01    0.00    5544         Node::get_probability(unsigned long) [32]
                0.00    0.00    5544/16632       std::array<float, 56ul>::operator[](unsigned long) [123]
-----------------------------------------------
                0.00    0.01       1/1           test_basic_run() [2]
[33]     0.3    0.00    0.01       1         Trainer::Trainer(bool, unsigned long, unsigned long, unsigned long, float, float) [33]
                0.01    0.00       1/1           std::vector<SelfPlayer, std::allocator<SelfPlayer> >::vector() [34]
                0.00    0.00       1/13          Node*& std::vector<Node*, std::allocator<Node*> >::emplace_back<Node*&>(Node*&) [67]
                0.00    0.00       1/2           std::allocator<Node*>::allocator() [310]
                0.00    0.00       1/1           std::vector<Node*, std::allocator<Node*> >::vector(unsigned long, Node* const&, std::allocator<Node*> const&) [408]
                0.00    0.00       1/4           std::allocator<Node*>::~allocator() [298]
                0.00    0.00       1/1           std::allocator<bool>::allocator() [360]
                0.00    0.00       1/1           std::vector<bool, std::allocator<bool> >::vector(unsigned long, bool const&, std::allocator<bool> const&) [411]
                0.00    0.00       1/1           std::allocator<bool>::~allocator() [361]
                0.00    0.00       1/1           std::vector<Node*, std::allocator<Node*> >::vector() [407]
                0.00    0.00       1/1           std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::time_since_epoch() const [353]
                0.00    0.00       1/1           std::chrono::duration<long, std::ratio<1l, 1000000000l> >::count() const [354]
                0.00    0.00       1/2           std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::mersenne_twister_engine(unsigned long) [321]
                0.00    0.00       1/1           std::vector<SelfPlayer, std::allocator<SelfPlayer> >::reserve(unsigned long) [403]
                0.00    0.00       1/1           SelfPlayer& std::vector<SelfPlayer, std::allocator<SelfPlayer> >::emplace_back<Trainer*>(Trainer*&&) [399]
                0.00    0.00       1/1           TrainMC::set_statics(unsigned long, float, float) [339]
-----------------------------------------------
                0.01    0.00       1/1           Trainer::Trainer(bool, unsigned long, unsigned long, unsigned long, float, float) [33]
[34]     0.3    0.01    0.00       1         std::vector<SelfPlayer, std::allocator<SelfPlayer> >::vector() [34]
                0.00    0.00       1/1           std::_Vector_base<SelfPlayer, std::allocator<SelfPlayer> >::_Vector_base() [369]
-----------------------------------------------
                0.00    0.00     102/102         __static_initialization_and_destruction_0(int, int) [37]
[35]     0.1    0.00    0.00     102         std::bitset<56ul>::bitset<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long) [35]
                0.00    0.00     102/3304        std::_Base_bitset<1ul>::_Base_bitset() [26]
                0.00    0.00     102/102         void std::bitset<56ul>::_M_copy_from_string<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long, unsigned long, char, char) [63]
                0.00    0.00     102/102         void std::bitset<56ul>::_M_check_initial_position<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long) const [199]
-----------------------------------------------
                0.00    0.00       1/1           __libc_csu_init [38]
[36]     0.1    0.00    0.00       1         _GLOBAL__sub_I__ZN7TrainMCC2EP7Trainer [36]
                0.00    0.00       1/1           __static_initialization_and_destruction_0(int, int) [37]
-----------------------------------------------
                0.00    0.00       1/1           _GLOBAL__sub_I__ZN7TrainMCC2EP7Trainer [36]
[37]     0.1    0.00    0.00       1         __static_initialization_and_destruction_0(int, int) [37]
                0.00    0.00     102/102         std::bitset<56ul>::bitset<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long) [35]
                0.00    0.00     102/102         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&) [228]
                0.00    0.00     102/102         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::~basic_string() [229]
-----------------------------------------------
                                                 <spontaneous>
[38]     0.1    0.00    0.00                 __libc_csu_init [38]
                0.00    0.00       1/1           _GLOBAL__sub_I__ZN7TrainMCC2EP7Trainer [36]
                0.00    0.00       1/1           _GLOBAL__sub_I__ZN10SelfPlayerC2EP7Trainer [326]
                0.00    0.00       1/1           _GLOBAL__sub_I__ZN4MoveC2Em [328]
                0.00    0.00       1/1           _GLOBAL__sub_I__Z17print_class_sizesv [325]
                0.00    0.00       1/1           _GLOBAL__sub_I__ZN4GameC2Ev [327]
                0.00    0.00       1/1           _GLOBAL__sub_I__ZN4NodeC2Ev [329]
                0.00    0.00       1/1           _GLOBAL__sub_I__ZN7TrainerC2Ebmmmff [330]
-----------------------------------------------
                0.00    0.00       1/1600        Node::Node() [51]
                0.00    0.00    1599/1600        Node::Node(Game const&, unsigned long, unsigned long, unsigned long) [20]
[39]     0.0    0.00    0.00    1600         Game::get_legal_moves(std::bitset<56ul>&) [39]
                0.00    0.00    1600/1600        Game::get_line_breakers(std::bitset<56ul>&) [43]
                0.00    0.00   89600/89600       std::bitset<56ul>::test(unsigned long) const [45]
                0.00    0.00    1600/1600        std::bitset<56ul>::set() [148]
                0.00    0.00    1600/1600        std::bitset<56ul>::none() const [146]
-----------------------------------------------
                0.00    0.00  102385/102385      std::bitset<48ul>::test(unsigned long) const [41]
[40]     0.0    0.00    0.00  102385         std::bitset<48ul>::_Unchecked_test(unsigned long) const [40]
                0.00    0.00  102385/82000389     std::_Base_bitset<1ul>::_S_maskbit(unsigned long) [11]
                0.00    0.00  102385/191985      std::_Base_bitset<1ul>::_M_getword(unsigned long) const [88]
-----------------------------------------------
                0.00    0.00    9591/102385      Game::do_move(unsigned long) [47]
                0.00    0.00   92794/102385      Game::get_top(unsigned long, unsigned long) [42]
[41]     0.0    0.00    0.00  102385         std::bitset<48ul>::test(unsigned long) const [41]
                0.00    0.00  102385/102385      std::bitset<48ul>::_Unchecked_test(unsigned long) const [40]
                0.00    0.00  102385/111979      std::bitset<48ul>::_M_check(unsigned long, char const*) const [114]
-----------------------------------------------
                0.00    0.00   83200/83200       Game::get_line_breakers(std::bitset<56ul>&) [43]
[42]     0.0    0.00    0.00   83200         Game::get_top(unsigned long, unsigned long) [42]
                0.00    0.00   92794/102385      std::bitset<48ul>::test(unsigned long) const [41]
-----------------------------------------------
                0.00    0.00    1600/1600        Game::get_legal_moves(std::bitset<56ul>&) [39]
[43]     0.0    0.00    0.00    1600         Game::get_line_breakers(std::bitset<56ul>&) [43]
                0.00    0.00   83200/83200       Game::get_top(unsigned long, unsigned long) [42]
                0.00    0.00   22400/22400       apply_line(std::bitset<56ul>&, unsigned long) [117]
-----------------------------------------------
                0.00    0.00   89600/89600       std::bitset<56ul>::test(unsigned long) const [45]
[44]     0.0    0.00    0.00   89600         std::bitset<56ul>::_Unchecked_test(unsigned long) const [44]
                0.00    0.00   89600/82000389     std::_Base_bitset<1ul>::_S_maskbit(unsigned long) [11]
                0.00    0.00   89600/191985      std::_Base_bitset<1ul>::_M_getword(unsigned long) const [88]
-----------------------------------------------
                0.00    0.00   89600/89600       Game::get_legal_moves(std::bitset<56ul>&) [39]
[45]     0.0    0.00    0.00   89600         std::bitset<56ul>::test(unsigned long) const [45]
                0.00    0.00   89600/89600       std::bitset<56ul>::_Unchecked_test(unsigned long) const [44]
                0.00    0.00   89600/91199       std::bitset<56ul>::_M_check(unsigned long, char const*) const [115]
-----------------------------------------------
                0.00    0.00      99/99          SelfPlayer::do_iteration(float, float*, float*, float*) [4]
[46]     0.0    0.00    0.00      99         TrainMC::choose_move() [46]
                0.00    0.00    5643/10155243     Node::has_visited(unsigned long) [14]
                0.00    0.00      99/1436001     Trainer::find_next(unsigned long, unsigned long) [22]
                0.00    0.00      99/2716999     Trainer::get_node(unsigned long) [27]
                0.00    0.00      99/1698        Node::get_depth() [142]
                0.00    0.00      99/99          Node::get_visits() [239]
                0.00    0.00      99/99          Trainer::generate() [241]
-----------------------------------------------
                0.00    0.00    1599/1599        Node::Node(Game const&, unsigned long, unsigned long, unsigned long) [20]
[47]     0.0    0.00    0.00    1599         Game::do_move(unsigned long) [47]
                0.00    0.00    9591/102385      std::bitset<48ul>::test(unsigned long) const [41]
                0.00    0.00    4797/4797        std::bitset<48ul>::set(unsigned long, bool) [56]
                0.00    0.00    4797/4797        std::bitset<48ul>::reset(unsigned long) [57]
                0.00    0.00    1599/1599        Move::Move(unsigned long) [151]
                0.00    0.00    1599/1599        std::bitset<16ul>::reset() [154]
-----------------------------------------------
                0.00    0.00       1/1           Trainer::do_iteration(float*, float (*) [96], float (*) [56], float (*) [70]) [3]
[48]     0.0    0.00    0.00       1         SelfPlayer::do_first_iteration(float*) [48]
                0.00    0.00       1/1           TrainMC::do_first_iteration(float*) [49]
-----------------------------------------------
                0.00    0.00       1/1           SelfPlayer::do_first_iteration(float*) [48]
[49]     0.0    0.00    0.00       1         TrainMC::do_first_iteration(float*) [49]
                0.00    0.00       1/1           Trainer::place_root() [50]
                0.00    0.00       1/1           Node::write_game_state(float*) [65]
                0.00    0.00       1/2716999     Trainer::get_node(unsigned long) [27]
-----------------------------------------------
                0.00    0.00       1/1           TrainMC::do_first_iteration(float*) [49]
[50]     0.0    0.00    0.00       1         Trainer::place_root() [50]
                0.00    0.00       1/1           Trainer::place(unsigned long) [52]
                0.00    0.00       1/1462915     std::vector<Node*, std::allocator<Node*> >::size() const [30]
                0.00    0.00       2/4183130     std::vector<Node*, std::allocator<Node*> >::operator[](unsigned long) [82]
                0.00    0.00       1/15400       std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()() [124]
-----------------------------------------------
                0.00    0.00       1/1           Trainer::place(unsigned long) [52]
[51]     0.0    0.00    0.00       1         Node::Node() [51]
                0.00    0.00       2/3200        std::bitset<56ul>::bitset() [25]
                0.00    0.00       1/1           Game::Game() [53]
                0.00    0.00       1/1600        Game::get_legal_moves(std::bitset<56ul>&) [39]
                0.00    0.00       1/1702        std::bitset<56ul>::reset() [139]
-----------------------------------------------
                0.00    0.00       1/1           Trainer::place_root() [50]
[52]     0.0    0.00    0.00       1         Trainer::place(unsigned long) [52]
                0.00    0.00       1/1           Node::Node() [51]
                0.00    0.00       1/160014      operator new(unsigned long, void*) [89]
                0.00    0.00       1/4183130     std::vector<Node*, std::allocator<Node*> >::operator[](unsigned long) [82]
-----------------------------------------------
                0.00    0.00       1/1           Node::Node() [51]
[53]     0.0    0.00    0.00       1         Game::Game() [53]
                0.00    0.00       1/1           std::bitset<48ul>::bitset() [59]
                0.00    0.00       1/1           std::bitset<16ul>::bitset() [58]
                0.00    0.00       1/1           std::bitset<48ul>::set() [396]
                0.00    0.00       1/1           std::bitset<16ul>::set() [394]
-----------------------------------------------
                0.00    0.00    4797/4797        std::bitset<48ul>::set(unsigned long, bool) [56]
[54]     0.0    0.00    0.00    4797         std::bitset<48ul>::_Unchecked_set(unsigned long, int) [54]
                0.00    0.00    4797/82000389     std::_Base_bitset<1ul>::_S_maskbit(unsigned long) [11]
                0.00    0.00    4797/81808404     std::_Base_bitset<1ul>::_M_getword(unsigned long) [17]
-----------------------------------------------
                0.00    0.00    4797/4797        std::bitset<48ul>::reset(unsigned long) [57]
[55]     0.0    0.00    0.00    4797         std::bitset<48ul>::_Unchecked_reset(unsigned long) [55]
                0.00    0.00    4797/82000389     std::_Base_bitset<1ul>::_S_maskbit(unsigned long) [11]
                0.00    0.00    4797/81808404     std::_Base_bitset<1ul>::_M_getword(unsigned long) [17]
-----------------------------------------------
                0.00    0.00    4797/4797        Game::do_move(unsigned long) [47]
[56]     0.0    0.00    0.00    4797         std::bitset<48ul>::set(unsigned long, bool) [56]
                0.00    0.00    4797/4797        std::bitset<48ul>::_Unchecked_set(unsigned long, int) [54]
                0.00    0.00    4797/111979      std::bitset<48ul>::_M_check(unsigned long, char const*) const [114]
-----------------------------------------------
                0.00    0.00    4797/4797        Game::do_move(unsigned long) [47]
[57]     0.0    0.00    0.00    4797         std::bitset<48ul>::reset(unsigned long) [57]
                0.00    0.00    4797/4797        std::bitset<48ul>::_Unchecked_reset(unsigned long) [55]
                0.00    0.00    4797/111979      std::bitset<48ul>::_M_check(unsigned long, char const*) const [114]
-----------------------------------------------
                0.00    0.00       1/1           Game::Game() [53]
[58]     0.0    0.00    0.00       1         std::bitset<16ul>::bitset() [58]
                0.00    0.00       1/3304        std::_Base_bitset<1ul>::_Base_bitset() [26]
-----------------------------------------------
                0.00    0.00       1/1           Game::Game() [53]
[59]     0.0    0.00    0.00       1         std::bitset<48ul>::bitset() [59]
                0.00    0.00       1/3304        std::_Base_bitset<1ul>::_Base_bitset() [26]
-----------------------------------------------
                0.00    0.00    1599/1599        std::bitset<56ul>::set(unsigned long, bool) [24]
[60]     0.0    0.00    0.00    1599         std::bitset<56ul>::_Unchecked_set(unsigned long, int) [60]
                0.00    0.00    1599/82000389     std::_Base_bitset<1ul>::_S_maskbit(unsigned long) [11]
                0.00    0.00    1599/81808404     std::_Base_bitset<1ul>::_M_getword(unsigned long) [17]
-----------------------------------------------
                0.00    0.00    1160/1160        void std::bitset<56ul>::_M_copy_from_ptr<char, std::char_traits<char> >(char const*, unsigned long, unsigned long, unsigned long, char, char) [62]
[61]     0.0    0.00    0.00    1160         std::bitset<56ul>::_Unchecked_set(unsigned long) [61]
                0.00    0.00    1160/82000389     std::_Base_bitset<1ul>::_S_maskbit(unsigned long) [11]
                0.00    0.00    1160/81808404     std::_Base_bitset<1ul>::_M_getword(unsigned long) [17]
-----------------------------------------------
                0.00    0.00     102/102         void std::bitset<56ul>::_M_copy_from_string<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long, unsigned long, char, char) [63]
[62]     0.0    0.00    0.00     102         void std::bitset<56ul>::_M_copy_from_ptr<char, std::char_traits<char> >(char const*, unsigned long, unsigned long, unsigned long, char, char) [62]
                0.00    0.00    1160/1160        std::bitset<56ul>::_Unchecked_set(unsigned long) [61]
                0.00    0.00    6872/6872        std::char_traits<char>::eq(char const&, char const&) [134]
                0.00    0.00     204/1404        unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&) [155]
                0.00    0.00     102/1702        std::bitset<56ul>::reset() [139]
-----------------------------------------------
                0.00    0.00     102/102         std::bitset<56ul>::bitset<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long) [35]
[63]     0.0    0.00    0.00     102         void std::bitset<56ul>::_M_copy_from_string<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long, unsigned long, char, char) [63]
                0.00    0.00     102/102         void std::bitset<56ul>::_M_copy_from_ptr<char, std::char_traits<char> >(char const*, unsigned long, unsigned long, unsigned long, char, char) [62]
                0.00    0.00     102/204         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::size() const [179]
                0.00    0.00     102/102         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::data() const [203]
-----------------------------------------------
                0.00    0.00       1/1           Node::write_game_state(float*) [65]
[64]     0.0    0.00    0.00       1         Game::write_game_state(float*) [64]
                0.00    0.00      48/48          std::bitset<48ul>::reference::operator bool() const [66]
                0.00    0.00      48/48          std::bitset<48ul>::operator[](unsigned long) [72]
                0.00    0.00      16/16          std::bitset<16ul>::reference::operator bool() const [73]
                0.00    0.00      16/16          std::bitset<16ul>::operator[](unsigned long) [75]
                0.00    0.00      48/48          std::bitset<48ul>::reference::~reference() [266]
                0.00    0.00      16/16          std::bitset<16ul>::reference::~reference() [274]
-----------------------------------------------
                0.00    0.00       1/1           TrainMC::do_first_iteration(float*) [49]
[65]     0.0    0.00    0.00       1         Node::write_game_state(float*) [65]
                0.00    0.00       1/1           Game::write_game_state(float*) [64]
-----------------------------------------------
                0.00    0.00      48/48          Game::write_game_state(float*) [64]
[66]     0.0    0.00    0.00      48         std::bitset<48ul>::reference::operator bool() const [66]
                0.00    0.00      48/82000389     std::_Base_bitset<1ul>::_S_maskbit(unsigned long) [11]
-----------------------------------------------
                0.00    0.00       1/13          Trainer::Trainer(bool, unsigned long, unsigned long, unsigned long, float, float) [33]
                0.00    0.00      12/13          Trainer::place(unsigned long, Game const&, unsigned long, unsigned long, unsigned long) [19]
[67]     0.0    0.00    0.00      13         Node*& std::vector<Node*, std::allocator<Node*> >::emplace_back<Node*&>(Node*&) [67]
                0.00    0.00       5/5           void std::vector<Node*, std::allocator<Node*> >::_M_realloc_insert<Node*&>(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, Node*&) [69]
                0.00    0.00      13/44          Node*& std::forward<Node*&>(std::remove_reference<Node*&>::type&) [267]
                0.00    0.00      13/13          std::vector<Node*, std::allocator<Node*> >::back() [279]
                0.00    0.00       8/13          void std::allocator_traits<std::allocator<Node*> >::construct<Node*, Node*&>(std::allocator<Node*>&, Node**, Node*&) [278]
                0.00    0.00       5/18          std::vector<Node*, std::allocator<Node*> >::end() [273]
-----------------------------------------------
                0.00    0.00       5/5           void std::vector<Node*, std::allocator<Node*> >::_M_realloc_insert<Node*&>(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, Node*&) [69]
[68]     0.0    0.00    0.00       5         std::vector<Node*, std::allocator<Node*> >::_M_check_len(unsigned long, char const*) const [68]
                0.00    0.00      20/1462915     std::vector<Node*, std::allocator<Node*> >::size() const [30]
                0.00    0.00      10/10          std::vector<Node*, std::allocator<Node*> >::max_size() const [284]
                0.00    0.00       5/104         unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&) [194]
-----------------------------------------------
                0.00    0.00       5/5           Node*& std::vector<Node*, std::allocator<Node*> >::emplace_back<Node*&>(Node*&) [67]
[69]     0.0    0.00    0.00       5         void std::vector<Node*, std::allocator<Node*> >::_M_realloc_insert<Node*&>(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, Node*&) [69]
                0.00    0.00       5/5           std::vector<Node*, std::allocator<Node*> >::_M_check_len(unsigned long, char const*) const [68]
                0.00    0.00      10/13          std::_Vector_base<Node*, std::allocator<Node*> >::_M_get_Tp_allocator() [277]
                0.00    0.00      10/20          __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >::base() const [272]
                0.00    0.00      10/10          std::vector<Node*, std::allocator<Node*> >::_S_relocate(Node**, Node**, Node**, std::allocator<Node*>&) [285]
                0.00    0.00       5/5           std::vector<Node*, std::allocator<Node*> >::begin() [297]
                0.00    0.00       5/5           __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >::difference_type __gnu_cxx::operator-<Node**, std::vector<Node*, std::allocator<Node*> > >(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > const&, __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > const&) [296]
                0.00    0.00       5/6           std::_Vector_base<Node*, std::allocator<Node*> >::_M_allocate(unsigned long) [293]
                0.00    0.00       5/44          Node*& std::forward<Node*&>(std::remove_reference<Node*&>::type&) [267]
                0.00    0.00       5/13          void std::allocator_traits<std::allocator<Node*> >::construct<Node*, Node*&>(std::allocator<Node*>&, Node**, Node*&) [278]
                0.00    0.00       5/7           std::_Vector_base<Node*, std::allocator<Node*> >::_M_deallocate(Node**, unsigned long) [289]
-----------------------------------------------
                0.00    0.00       1/1           test_basic_run() [2]
[70]     0.0    0.00    0.00       1         Trainer::~Trainer() [70]
                0.00    0.00      14/1462915     std::vector<Node*, std::allocator<Node*> >::size() const [30]
                0.00    0.00      13/4183130     std::vector<Node*, std::allocator<Node*> >::operator[](unsigned long) [82]
                0.00    0.00       2/2           std::vector<Node*, std::allocator<Node*> >::~vector() [322]
                0.00    0.00       1/1           std::vector<SelfPlayer, std::allocator<SelfPlayer> >::~vector() [404]
                0.00    0.00       1/1           std::vector<bool, std::allocator<bool> >::~vector() [412]
-----------------------------------------------
                0.00    0.00      48/48          std::bitset<48ul>::operator[](unsigned long) [72]
[71]     0.0    0.00    0.00      48         std::bitset<48ul>::reference::reference(std::bitset<48ul>&, unsigned long) [71]
                0.00    0.00      48/81808404     std::_Base_bitset<1ul>::_M_getword(unsigned long) [17]
                0.00    0.00      48/163796440     std::_Base_bitset<1ul>::_S_whichbit(unsigned long) [16]
-----------------------------------------------
                0.00    0.00      48/48          Game::write_game_state(float*) [64]
[72]     0.0    0.00    0.00      48         std::bitset<48ul>::operator[](unsigned long) [72]
                0.00    0.00      48/48          std::bitset<48ul>::reference::reference(std::bitset<48ul>&, unsigned long) [71]
-----------------------------------------------
                0.00    0.00      16/16          Game::write_game_state(float*) [64]
[73]     0.0    0.00    0.00      16         std::bitset<16ul>::reference::operator bool() const [73]
                0.00    0.00      16/82000389     std::_Base_bitset<1ul>::_S_maskbit(unsigned long) [11]
-----------------------------------------------
                0.00    0.00      16/16          std::bitset<16ul>::operator[](unsigned long) [75]
[74]     0.0    0.00    0.00      16         std::bitset<16ul>::reference::reference(std::bitset<16ul>&, unsigned long) [74]
                0.00    0.00      16/81808404     std::_Base_bitset<1ul>::_M_getword(unsigned long) [17]
                0.00    0.00      16/163796440     std::_Base_bitset<1ul>::_S_whichbit(unsigned long) [16]
-----------------------------------------------
                0.00    0.00      16/16          Game::write_game_state(float*) [64]
[75]     0.0    0.00    0.00      16         std::bitset<16ul>::operator[](unsigned long) [75]
                0.00    0.00      16/16          std::bitset<16ul>::reference::reference(std::bitset<16ul>&, unsigned long) [74]
-----------------------------------------------
                0.00    0.00       1/4183130     Trainer::place(unsigned long) [52]
                0.00    0.00       2/4183130     Trainer::place_root() [50]
                0.00    0.00      13/4183130     Trainer::~Trainer() [70]
                0.00    0.00    1599/4183130     Trainer::place(unsigned long, Game const&, unsigned long, unsigned long, unsigned long) [19]
                0.00    0.00    3272/4183130     Trainer::place_next(Game const&, unsigned long, unsigned long, unsigned long) [18]
                0.00    0.00 1461244/4183130     Trainer::find_next(unsigned long, unsigned long) [22]
                0.00    0.00 2716999/4183130     Trainer::get_node(unsigned long) [27]
[82]     0.0    0.00    0.00 4183130         std::vector<Node*, std::allocator<Node*> >::operator[](unsigned long) [82]
-----------------------------------------------
                0.00    0.00 1277601/1277601     TrainMC::search(float*) [6]
[83]     0.0    0.00    0.00 1277601         Node::increment_visits() [83]
-----------------------------------------------
