Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.77     0.00   111979     0.00     0.00  std::bitset<48ul>::_M_check(unsigned long, char const*) const
  0.00      1.77     0.00   102385     0.00     0.00  std::bitset<48ul>::_Unchecked_test(unsigned long) const
  0.00      1.77     0.00   102385     0.00     0.00  std::bitset<48ul>::test(unsigned long) const
  0.00      1.77     0.00    91199     0.00     0.00  std::bitset<56ul>::_M_check(unsigned long, char const*) const
  0.00      1.77     0.00    89600     0.00     0.00  std::bitset<56ul>::_Unchecked_test(unsigned long) const
  0.00      1.77     0.00    89600     0.00     0.00  std::bitset<56ul>::test(unsigned long) const
  0.00      1.77     0.00    83200     0.00     0.00  Game::get_top(unsigned long, unsigned long)
  0.00      1.77     0.00    30600     0.00     0.00  std::uniform_real_distribution<float>::param_type::a() const
  0.00      1.77     0.00    22400     0.00     0.00  apply_line(std::bitset<56ul>&, unsigned long)
  0.00      1.77     0.00    22400     0.00     0.00  std::_Base_bitset<1ul>::_M_do_and(std::_Base_bitset<1ul> const&)
  0.00      1.77     0.00    22400     0.00     0.00  std::__array_traits<std::bitset<56ul>, 102ul>::_S_ref(std::bitset<56ul> const (&) [102], unsigned long)
  0.00      1.77     0.00    22400     0.00     0.00  std::array<std::bitset<56ul>, 102ul>::operator[](unsigned long)
  0.00      1.77     0.00    22400     0.00     0.00  std::bitset<56ul>::operator&=(std::bitset<56ul> const&)
  0.00      1.77     0.00    16632     0.00     0.00  std::__array_traits<float, 56ul>::_S_ref(float const (&) [56], unsigned long)
  0.00      1.77     0.00    16632     0.00     0.00  std::array<float, 56ul>::operator[](unsigned long)
  0.00      1.77     0.00    15400     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()()
  0.00      1.77     0.00    15300     0.00     0.00  std::uniform_real_distribution<float>::param_type::b() const
